generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.17699573249974918,0.27296046750015507,0.26531014374988954,0.284733656250069,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.20578765999973345,0.29373724000000245,0.30036528999966555,0.20010980999979697,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.2695985949999379,0.272120029999788,0.22261128124990961,0.2356700937501098,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.5,0.7439024390243902
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.2081213662497272,0.2804061012502178,0.2537126924999512,0.25775983999996505,1.0,0.8051282051282052,0.8051282051282052,0.8051282051282052,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.2546975637496588,0.27356664999995484,0.2052171474997453,0.26651863875003434,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.22190677500004544,0.2604346024998971,0.224714934999913,0.2929436874998002,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.3606325474998152,0.1705455499998063,0.2469283587499901,0.22189354374977024,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.2696980987500616,0.25187728124988534,0.23405799499992314,0.24436662500021014,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.5,0.25609756097560976
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.206637313749727,0.21173515499996226,0.29998400874988346,0.28164352249991687,1.0,0.47692307692307695,0.47692307692307695,0.47692307692307695,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.27958309500004347,0.25071761999962616,0.21385748500004154,0.2558417999998346,1.0,1.0,1.0,1.0,0.0,0.0
