"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1686",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.259267946249969,0.273484452499873,0.235405757500093,0.231841843749784,0.980708490699613,0.960978403977736,0.942795436473202,0.942482710019351,0.231841843749784,0.231886147376885,"run12"
"1687",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.239822369999861,0.267926562500091,0.285368762500117,0.206882304999746,0.981564253199594,0.960044670772428,0.94317194576858,0.942651516736893,0.206882304999746,0.207302483535663,"run12"
"1688",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.232025606249636,0.285485602500161,0.252804321250154,0.229684470000202,0.979468071596724,0.957258278336856,0.938372916986027,0.937818287421339,0.229684470000202,0.230229535791385,"run12"
"1689",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.228807699999962,0.240749878750194,0.253000686249711,0.27744173499983,0.980347029288482,0.957329847952288,0.939752158267441,0.938987505403336,0.27744173499983,0.27787789932801,"run12"
"1690",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.255168650000018,0.276529251250193,0.256780846250157,0.21152125249973,0.761602444519321,-0.0256410256377428,0.202804752368754,-0.0253784848787699,0.21152125249973,0.241994798169414,"run12"
"1691",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.229016498749811,0.27077255999984,0.267338402500257,0.232872538749883,0.979919025571371,0.958495391156727,0.939936319934651,0.939469968106237,0.232872538749883,0.233375835974726,"run12"
"1692",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.272001541250247,0.238190377499946,0.223526051250099,0.266282029999894,0.981235614929883,0.958248298208709,0.940640113268008,0.940318185896406,0.266282029999894,0.265962906583979,"run12"
"1693",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.233821313749912,0.232304216250131,0.325899731250122,0.207974738749773,0.979985838584506,0.961563201926061,0.942862703845128,0.942433106034799,0.207974738749773,0.208365261950146,"run12"
"1694",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.28719114125001,0.239203118750113,0.269595666249854,0.204010073749799,0.979648328711557,0.959710331029224,0.940896866152999,0.940419821308083,0.204010073749799,0.203772086950207,"run12"
"1695",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.265757179999999,0.201456718749811,0.273216678749938,0.259569422499883,0.727655255210051,-0.0256410256377428,0.237174849128008,-0.0253865165183691,0.259569422499883,0.256833777917021,"run12"
